// Total transaction size : 85470
// Total number of selected UTXOs : 314

//filename //status //y //z_s //z_v //epsilon //totalSelectedUTXOs
5ad448a959678302d59e6f75.txt    Optimal   216 34     66581864      7359 1
5ad44bfdce94cf05c955f862.txt    Optimal   364 34         1366       756 2
5ad44e0ece94cf05c955f864.txt    Optimal   250 34     39454264      1369 1
5ad44e1bce94cf05c955f865.txt    Optimal   364 34         1365       758 2
5ad4503ece94cf05c955f868.txt    Optimal   364 34      1037718     20641 2
5ad4517cce94cf05c955f86a.txt    Optimal   250 34    695247540      6187 1
5ad4519cce94cf05c955f86b.txt    Optimal   364 34        13393       687 2
5ad45307ce94cf05c955f86c.txt    Optimal   364 34         1363       760 2
5ad45353ce94cf05c955f86d.txt    Optimal   546 34        38497     13703 3
5ad4537ece94cf05c955f86e.txt    Optimal   398 34          545       275 2
5ad45471ce94cf05c955f86f.txt    Optimal  3616 34     88370779     13660 1
5ad45a854c372215dd13d61b.txt    Optimal  3582 34   5463609100     13662 1
5ad45aac4c372215dd13d61c.txt    Optimal   330  0          619      3079 2
5ad45bc64c372215dd13d61d.txt    Optimal   398 34         1369       687 2
5ad45f554c372215dd13d620.txt    Optimal   216 34      8023918       137 1
5ad460064c372215dd13d621.txt    Optimal   364 34         1409       601 2
5ad4601c4c372215dd13d622.txt    Optimal   364 34         1369       751 2
5ad460274c372215dd13d623.txt    Optimal   512 34      1184863       810 3
5ad462d64c372215dd13d625.txt    Optimal   398 34         3811      1917 2
5ad464274c372215dd13d626.txt    Optimal   364  0          544       689 2
5ad466074c372215dd13d627.txt    Optimal   546 34        14950      5350 3
5ad466964c372215dd13d628.txt    Optimal   398 34         7926      3942 2
5ad466b84c372215dd13d629.txt    Optimal   398 34         2468      1232 2
5ad467694c372215dd13d62a.txt    Optimal   660 34         5281      1538 4
5ad468234c372215dd13d62c.txt    Optimal   364 34        61979     34532 2
5ad469f14c372215dd13d62e.txt    Optimal   546 34        24939       137 3
5ad46c154c372215dd13d630.txt    Optimal   398 34          548       274 2
5ad46c3a4c372215dd13d631.txt    Optimal   250 34      1000620       275 1
5ad46ca84c372215dd13d632.txt    Optimal   512 34         1921       735 3
5ad46ec14c372215dd13d633.txt    Optimal  1104 34         4142       707 7
5ad46ef24c372215dd13d634.txt    Optimal   364 34         2889      1277 2
5ad471284c372215dd13d638.txt    Optimal   364 34         1436       273 2
5ad471b84c372215dd13d639.txt Infeasible    34  0            0      3660 0
5ad472484c372215dd13d63a.txt    Optimal   364 34       175932     44293 2
5ad472ba4c372215dd13d63b.txt    Optimal   364 34          943       418 2
5ad472c54c372215dd13d63c.txt    Optimal   398 34         2739      1373 2
5ad473814c372215dd13d63d.txt    Optimal   352 34      9328760      4895 1
5ad4739d4c372215dd13d63e.txt    Optimal   398 34         1371       685 2
5ad4742c4c372215dd13d63f.txt    Optimal   364 34         8424      4656 2
5ad474d64c372215dd13d640.txt    Optimal   694 34         7562      2105 4
5ad475124c372215dd13d641.txt    Optimal   364 34     27406177      3680 2
5ad4758c4c372215dd13d642.txt    Optimal  1576 34    757683470     13661 1
5ad476594c372215dd13d643.txt    Optimal   398 34         1369       687 2
